# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-ERAD-475
# Selected columns: 18 (all)
# Timestamp: Sun, 12-Nov-2023 06:21:53
Gene ID	Gene Name	zygote	cleavage 2-cell	blastula 128-cell	blastula 1k-cell	blastula dome	gastrula 50%-epiboly	gastrula shield	gastrula 75%-epiboly	segmentation 1-4 somites	segmentation 14-19 somites	segmentation 20-25 somites	pharyngula prim-5	pharyngula prim-15	pharyngula prim-25	hatching long-pec	larval protruding mouth	larval day 4	larval day 5
ENSDARG00000000001	slc35a5	2.0	5.0	16.0	17.0	8.0	4.0	2.0	4.0	3.0	2.0	2.0	3.0	3.0	3.0	4.0	4.0	6.0	5.0
ENSDARG00000000002	ccdc80	0.3	4.0	2.0	2.0	0.8	0.4	0.3	0.4	0.6	3.0	7.0	10.0	12.0	9.0	12.0	19.0	18.0	17.0
ENSDARG00000000018	nrf1	8.0	16.0	80.0	141.0	114.0	62.0	38.0	42.0	62.0	62.0	52.0	47.0	43.0	63.0	45.0	27.0	22.0	27.0
ENSDARG00000000019	ube2h	139.0	158.0	168.0	178.0	178.0	124.0	99.0	102.0	62.0	40.0	70.0	87.0	68.0	61.0	73.0	105.0	113.0	103.0
ENSDARG00000000068	slc9a3r1a	42.0	42.0	91.0	83.0	71.0	85.0	71.0	52.0	21.0	27.0	22.0	21.0	13.0	12.0	11.0	30.0	50.0	39.0
ENSDARG00000000069	dap	275.0	246.0	129.0	116.0	111.0	81.0	69.0	62.0	75.0	75.0	95.0	100.0	97.0	76.0	73.0	77.0	110.0	82.0
ENSDARG00000000086	itsn1	2.0	4.0	20.0	23.0	17.0	11.0	5.0	9.0	15.0	10.0	14.0	12.0	13.0	14.0	14.0	14.0	17.0	18.0
ENSDARG00000000103	myh10	23.0	14.0	41.0	50.0	41.0	39.0	26.0	32.0	63.0	64.0	75.0	81.0	71.0	74.0	56.0	41.0	42.0	37.0
ENSDARG00000000142	tmem267	2.0	5.0	23.0	22.0	13.0	10.0	5.0	8.0	6.0	2.0	5.0	3.0	5.0	8.0	9.0	11.0	11.0	8.0
ENSDARG00000000151	thraa	4.0	6.0	30.0	35.0	11.0	2.0	1.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	4.0	6.0	6.0	7.0
ENSDARG00000000161	itsn2a		0.1	0.6	0.5	0.8	0.3		0.1	0.7	0.6	0.6	0.8	0.8	1.0	3.0	5.0	6.0	6.0
ENSDARG00000000175	hoxb2a			12.0	4.0	2.0				23.0	39.0	36.0	30.0	32.0	35.0	26.0	16.0	12.0	9.0
ENSDARG00000000183	ptpn4b	28.0	37.0	48.0	58.0	21.0	3.0	2.0	2.0	7.0	8.0	8.0	7.0	6.0	7.0	7.0	11.0	11.0	12.0
ENSDARG00000000189	sema6e	7.0	12.0	14.0	18.0	3.0	0.6	0.3	0.8	3.0	3.0	4.0	6.0	7.0	7.0	11.0	17.0	19.0	19.0
ENSDARG00000000212	krt97			1.0		43.0	553.0	974.0	943.0	376.0	232.0	148.0	160.0	202.0	101.0	142.0	125.0	379.0	433.0
ENSDARG00000000229	usp49		0.5	7.0	6.0	8.0	7.0	9.0	14.0	14.0	16.0	16.0	16.0	16.0	18.0	18.0	14.0	11.0	10.0
ENSDARG00000000241	slc40a1	0.3	0.2	0.3	0.5	0.8	0.5	1.0	2.0	5.0	10.0	30.0	58.0	61.0	50.0	50.0	45.0	67.0	61.0
ENSDARG00000000324	dcaf8	33.0	40.0	50.0	49.0	21.0	11.0	10.0	11.0	13.0	11.0	12.0	11.0	13.0	21.0	17.0	22.0	22.0	27.0
ENSDARG00000000349	cfap300									1.0	3.0	2.0	4.0	2.0	2.0	2.0	1.0		1.0
ENSDARG00000000369	prkag3b										4.0	8.0	11.0	10.0	11.0	7.0	12.0	10.0	10.0
ENSDARG00000000370	triob	0.1		0.4	0.5	0.1			0.7	7.0	6.0	7.0	6.0	7.0	8.0	8.0	10.0	14.0	14.0
ENSDARG00000000380	pde6a						0.4	0.4	0.7	0.8	0.2		0.1	0.5	0.2	0.4	7.0	10.0	10.0
ENSDARG00000000394	matr3l1.1	80.0	98.0	163.0	131.0	141.0	196.0	255.0	216.0	173.0	121.0	103.0	93.0	80.0	81.0	64.0	52.0	44.0	44.0
ENSDARG00000000423	si:ch73-314g15.3	4.0	4.0	25.0	36.0	15.0	5.0	0.9	5.0	8.0	6.0	7.0	6.0	4.0	5.0	4.0	5.0	6.0	4.0
ENSDARG00000000442	slc39a13	17.0	23.0	92.0	122.0	69.0	40.0	24.0	25.0	30.0	24.0	28.0	24.0	22.0	17.0	19.0	20.0	14.0	11.0
ENSDARG00000000472	cntn2	2.0	4.0	5.0	5.0	5.0	3.0	3.0	2.0	1.0	3.0	4.0	5.0	8.0	12.0	17.0	10.0	10.0	10.0
ENSDARG00000000476	pms1	7.0	13.0	39.0	33.0	28.0	16.0	10.0	7.0	9.0	7.0	7.0	6.0	6.0	4.0	4.0	3.0	5.0	6.0
ENSDARG00000000489	upf3b	43.0	38.0	55.0	59.0	68.0	53.0	46.0	42.0	55.0	62.0	49.0	49.0	39.0	40.0	27.0	22.0	24.0	30.0
ENSDARG00000000503	stx1b						0.1			0.1	4.0	13.0	23.0	36.0	53.0	86.0	178.0	167.0	151.0
ENSDARG00000000516	ankar							0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.3			0.5	0.2
ENSDARG00000000529	ofd1	71.0	77.0	54.0	69.0	65.0	21.0	7.0	9.0	19.0	17.0	17.0	15.0	11.0	9.0	8.0	6.0	6.0	6.0
ENSDARG00000000540	asdurf	26.0	21.0	28.0	31.0	44.0	24.0	22.0	17.0	19.0	19.0	17.0	11.0	9.0	8.0	7.0	7.0	5.0	5.0
ENSDARG00000000542	gtf2e1	17.0	20.0	58.0	49.0	43.0	27.0	25.0	27.0	22.0	20.0	16.0	14.0	12.0	11.0	9.0	6.0	5.0	5.0
ENSDARG00000000551	slc1a4	0.9	1.0	2.0	1.0	0.1	0.8	0.6	1.0	6.0	8.0	19.0	33.0	32.0	16.0	29.0	25.0	14.0	11.0
ENSDARG00000000563	ttn.1	0.1	0.1	0.1	0.1	0.2	0.1	0.2	0.3	3.0	5.0	12.0	31.0	45.0	60.0	48.0	51.0	58.0	65.0
ENSDARG00000000567	znf281a	2.0	4.0	3.0	3.0	18.0	48.0	47.0	42.0	33.0	32.0	33.0	30.0	33.0	49.0	36.0	14.0	12.0	10.0
